ScoobyDooWhereAreYou,1969,1970
Munsters,1964,1966
Batman,1966,1968
AddamsFamily,1964,1966
GilligansIsland,1964,1967
SesameStreet,1970,2018
MuppetShow,1976,1981
BradyBunch,1969,1974
FullHouse,1987,1995
FamilyTies,1982,1989
Snorks,1984,1989
Thomas&Friends,1984,2018
GrowingPains,1985,1992
Alf,1986,1990
SavedByTheBell,1989,1993
Digimon,1999,2003
PowerRangers,1993,1999
PinkyAndTheBrain,1995,1998
Rugrats,1991,2004
JohnnyBravo,1997,2004
Arthur,1996,2018
Barney,1992,2009
Recess,1997,2001
WonderYears,1988,1993
BatmanAnimated,1992,1995
TeenTitans,2003,2006
Drake&Josh,2004,2007
Dora,2000,2014
SuiteLife,2005,2008
JimmyNeutron,2002,2006
Naruto,2002,2007
PowerPuffGirls,1998,2005
AllGrownUp,2003,2008
CuriousGeorge,2006,2015
Pokemon,1999,2016
KimPossible,2002,2007
FairlyOddParents,2001,2018
LizzieMcguire,2001,2004
WhatsNewScoobyDoo,2002,2006
Spongebob,1999,2018
Avatar,2003,2008
CodenameKidsNextDoor,2002,2008
Lilo&Stitch,2003,2006
EdEddEddy,1999,2008
DexterLab,1996,2003
InspectorGadget,2015,2015
Voltron,2016,2018
Phineas&Ferb,2007,2015
TeenTitansGo,2013,2018
GravityFalls,2012,2016
LegendOfKorra,2012,2014
TMNT,2012,2017
Yugiho,2014,2017
WanderOverYonder,2013,2016
